lat,lon,tas_anomaly,year,scenario
-72.88733,183.75,1.354,2030,ssp245
-72.88733,193.75,1.144,2030,ssp245
-72.88733,203.75,1.211,2030,ssp245
-72.88733,213.75,2.117,2030,ssp245
-72.88733,223.75,2.549,2030,ssp245
-72.88733,233.75,2.293,2030,ssp245
-72.88733,243.75,2.118,2030,ssp245
-72.88733,253.75,2.109,2030,ssp245
-72.88733,263.75,1.991,2030,ssp245
-72.88733,273.75,1.772,2030,ssp245
-72.88733,283.75,1.719,2030,ssp245
-72.88733,293.75,1.251,2030,ssp245
-72.88733,303.75,2.567,2030,ssp245
-72.88733,313.75,3.118,2030,ssp245
-72.88733,323.75,3.567,2030,ssp245
-72.88733,333.75,2.942,2030,ssp245
-72.88733,343.75,1.81,2030,ssp245
-72.88733,353.75,1.505,2030,ssp245
-67.8169,3.75,2.981,2030,ssp245
-67.8169,13.75,2.748,2030,ssp245
-67.8169,23.75,2.444,2030,ssp245
-67.8169,33.75,2.032,2030,ssp245
-67.8169,43.75,1.393,2030,ssp245
-67.8169,53.75,1.238,2030,ssp245
-67.8169,63.75,0.873,2030,ssp245
-67.8169,73.75,0.931,2030,ssp245
-67.8169,83.75,1.229,2030,ssp245
-67.8169,93.75,1.269,2030,ssp245
-67.8169,103.75,1.363,2030,ssp245
-67.8169,113.75,1.466,2030,ssp245
-67.8169,123.75,1.388,2030,ssp245
-67.8169,133.75,1.463,2030,ssp245
-67.8169,143.75,1.319,2030,ssp245
-67.8169,153.75,1.788,2030,ssp245
-67.8169,163.75,1.497,2030,ssp245
-67.8169,173.75,1.814,2030,ssp245
-67.8169,183.75,2.12,2030,ssp245
-67.8169,193.75,1.963,2030,ssp245
-67.8169,203.75,1.226,2030,ssp245
-67.8169,213.75,1.459,2030,ssp245
-67.8169,223.75,2.064,2030,ssp245
-67.8169,233.75,2.175,2030,ssp245
-67.8169,243.75,2.279,2030,ssp245
-67.8169,253.75,2.242,2030,ssp245
-67.8169,263.75,2.199,2030,ssp245
-67.8169,273.75,2.127,2030,ssp245
-67.8169,283.75,1.921,2030,ssp245
-67.8169,293.75,1.407,2030,ssp245
-67.8169,303.75,1.022,2030,ssp245
-67.8169,313.75,1.543,2030,ssp245
-67.8169,323.75,1.987,2030,ssp245
-67.8169,333.75,2.169,2030,ssp245
-67.8169,343.75,2.0,2030,ssp245
-67.8169,353.75,2.508,2030,ssp245
-62.746475,3.75,2.711,2030,ssp245
-62.746475,13.75,3.109,2030,ssp245
-62.746475,23.75,2.876,2030,ssp245
-62.746475,33.75,2.515,2030,ssp245
-62.746475,43.75,2.107,2030,ssp245
-62.746475,53.75,1.291,2030,ssp245
-62.746475,63.75,1.337,2030,ssp245
-62.746475,73.75,1.003,2030,ssp245
-62.746475,83.75,0.762,2030,ssp245
-62.746475,93.75,0.693,2030,ssp245
-62.746475,103.75,0.772,2030,ssp245
-62.746475,113.75,1.587,2030,ssp245
-62.746475,123.75,1.796,2030,ssp245
-62.746475,133.75,1.262,2030,ssp245
-62.746475,143.75,1.059,2030,ssp245
-62.746475,153.75,0.894,2030,ssp245
-62.746475,163.75,1.543,2030,ssp245
-62.746475,173.75,2.015,2030,ssp245
-62.746475,183.75,1.74,2030,ssp245
-62.746475,193.75,1.662,2030,ssp245
-62.746475,203.75,1.606,2030,ssp245
-62.746475,213.75,1.533,2030,ssp245
-62.746475,223.75,1.363,2030,ssp245
-62.746475,233.75,1.465,2030,ssp245
-62.746475,243.75,1.79,2030,ssp245
-62.746475,253.75,2.023,2030,ssp245
-62.746475,263.75,2.033,2030,ssp245
-62.746475,273.75,1.967,2030,ssp245
-62.746475,283.75,1.84,2030,ssp245
-62.746475,293.75,1.43,2030,ssp245
-62.746475,303.75,0.374,2030,ssp245
-62.746475,313.75,0.439,2030,ssp245
-62.746475,323.75,0.987,2030,ssp245
-62.746475,333.75,1.17,2030,ssp245
-62.746475,343.75,1.439,2030,ssp245
-62.746475,353.75,1.994,2030,ssp245
-57.676056,3.75,2.166,2030,ssp245
-57.676056,13.75,2.537,2030,ssp245
-57.676056,23.75,2.521,2030,ssp245
-57.676056,33.75,2.197,2030,ssp245
-57.676056,43.75,1.953,2030,ssp245
-57.676056,53.75,1.444,2030,ssp245
-57.676056,63.75,1.22,2030,ssp245
-57.676056,73.75,1.172,2030,ssp245
-57.676056,83.75,0.722,2030,ssp245
-57.676056,93.75,0.263,2030,ssp245
-57.676056,103.75,0.106,2030,ssp245
-57.676056,113.75,0.53,2030,ssp245
-57.676056,123.75,0.803,2030,ssp245
-57.676056,133.75,0.783,2030,ssp245
-57.676056,143.75,0.734,2030,ssp245
-57.676056,153.75,0.45,2030,ssp245
-57.676056,163.75,0.426,2030,ssp245
-57.676056,173.75,0.545,2030,ssp245
-57.676056,183.75,0.603,2030,ssp245
-57.676056,193.75,0.486,2030,ssp245
-57.676056,203.75,0.38,2030,ssp245
-57.676056,213.75,0.457,2030,ssp245
-57.676056,223.75,0.671,2030,ssp245
-57.676056,233.75,0.972,2030,ssp245
-57.676056,243.75,1.195,2030,ssp245
-57.676056,253.75,1.362,2030,ssp245
-57.676056,263.75,1.472,2030,ssp245
-57.676056,273.75,1.396,2030,ssp245
-57.676056,283.75,1.186,2030,ssp245
-57.676056,293.75,0.972,2030,ssp245
-57.676056,303.75,0.91,2030,ssp245
-57.676056,313.75,0.706,2030,ssp245
-57.676056,323.75,0.718,2030,ssp245
-57.676056,333.75,0.932,2030,ssp245
-57.676056,343.75,1.314,2030,ssp245
-57.676056,353.75,1.857,2030,ssp245
-52.605633,3.75,1.404,2030,ssp245
-52.605633,13.75,1.495,2030,ssp245
-52.605633,23.75,1.552,2030,ssp245
-52.605633,33.75,1.498,2030,ssp245
-52.605633,43.75,1.464,2030,ssp245
-52.605633,53.75,1.262,2030,ssp245
-52.605633,63.75,1.009,2030,ssp245
-52.605633,73.75,0.927,2030,ssp245
-52.605633,83.75,0.823,2030,ssp245
-52.605633,93.75,0.626,2030,ssp245
-52.605633,103.75,0.52,2030,ssp245
-52.605633,113.75,0.643,2030,ssp245
-52.605633,123.75,0.782,2030,ssp245
-52.605633,133.75,0.691,2030,ssp245
-52.605633,143.75,0.592,2030,ssp245
-52.605633,153.75,0.487,2030,ssp245
-52.605633,163.75,0.34,2030,ssp245
-52.605633,173.75,0.304,2030,ssp245
-52.605633,183.75,0.329,2030,ssp245
-52.605633,193.75,0.297,2030,ssp245
-52.605633,203.75,0.257,2030,ssp245
-52.605633,213.75,0.684,2030,ssp245
